Unnamed: 0,interview__key,interview__id,shocks__id,v31102b,typeshock,typeshocknum,shockdisinv,savusedshock,insusedshock,pubtransusedshock,borrusedshock,shocks_Group
0,61-84-00-54,e4caefaf3c074773a6e478861d18f0a7,Death of household member,1,Death of household member,2.0,0.0,1.0,0.0,0.0,1,demographic
1,61-84-00-54,e4caefaf3c074773a6e478861d18f0a7,Household member left the household,1,Household member left the household,3.0,,,,,0,others
2,59-46-95-71,419de10d4606492390aaec2a7fb1e5b9,Flooding of agricultural land,1,Flooding of agricultural land,10.0,0.0,1.0,0.0,0.0,0,agricultural
3,16-60-25-95,22b3b9365e3246b3821baad080732b6b,Job loss,1,Job loss,62.0,0.0,0.0,0.0,1.0,0,economics
4,36-89-97-65,782b881d3751484d8cbdf49f3daae2ac,Illness of household member,1,Illness of household member,1.0,,,,,0,demographic
5,36-89-97-65,782b881d3751484d8cbdf49f3daae2ac,Drought,1,Drought,11.0,,,,,0,agricultural
6,36-89-97-65,782b881d3751484d8cbdf49f3daae2ac,Accident,1,Accident,24.0,,,,,0,demographic
7,36-89-97-65,782b881d3751484d8cbdf49f3daae2ac,Storm,1,Storm,55.0,0.0,0.0,0.0,1.0,0,agricultural
8,96-40-48-93,f61946a349b743e988b834efeeabfa60,Flooding of agricultural land,1,Flooding of agricultural land,10.0,0.0,0.0,0.0,0.0,0,agricultural
9,96-40-48-93,f61946a349b743e988b834efeeabfa60,Drought,1,Drought,11.0,,,,,0,agricultural
10,40-94-47-49,51dd8298866e47158e113ec3afe54586,Drought,1,Drought,11.0,,,,,0,agricultural
11,52-42-75-93,0fb41bdf460b452ea36b10359820a8bb,House damage,1,House damage,6.0,,,,,0,economics
12,52-42-75-93,0fb41bdf460b452ea36b10359820a8bb,Job loss,1,Job loss,62.0,,,,,0,economics
13,04-16-71-25,06aa5a2fa1064967aac08ec195b63e9f,Strong increase of prices for Input,1,ราคาปัจจัยการผลิตเพิ่มขึ้นอย่างมาก,22.0,,,,,0,agricultural
14,62-68-12-78,2782c0baaa0846dba9b4cedb408cf809,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,0.0,0.0,0.0,1.0,0,agricultural
15,49-15-19-55,d33fbedfa3464c238fc42054e0c841a5,Strong increase of prices for Input,1,Strong increase of prices for Input,22.0,0.0,0.0,0.0,0.0,0,agricultural
16,51-39-40-08,aa210731c5ca46318ce0e477cdad93da,Drought,1,ภัยแล้ง,11.0,,,,,0,agricultural
17,93-68-65-70,a7cefbd100ca468ba67ef9335e95f340,Drought,1,Drought,11.0,,,,,0,agricultural
18,74-89-00-52,8d02af0d78b044ebaedfe93fa7a3d7d6,Illness of household member,1,การเจ็บป่วยของสมาชิกในครัวเรือน,1.0,,,,,0,demographic
19,74-89-00-52,8d02af0d78b044ebaedfe93fa7a3d7d6,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,,,,,0,agricultural
20,68-04-10-71,baaed882cb6b43abaad81fbc02d612c2,Illness of household member,1,Illness of household member,1.0,,,,,0,demographic
21,68-04-10-71,baaed882cb6b43abaad81fbc02d612c2,Job loss,1,Job loss,62.0,,,,,0,economics
22,74-26-52-77,7b1b5e90fa6747909eb6195914bf5a2e,Storm,1,พายุ,55.0,,,,,0,agricultural
23,70-83-98-10,4a89f2f290a943e68155dc1bca998912,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,,,,,0,agricultural
24,70-83-98-10,4a89f2f290a943e68155dc1bca998912,Drought,1,ภัยแล้ง,11.0,0.0,0.0,0.0,1.0,0,agricultural
25,70-83-98-10,4a89f2f290a943e68155dc1bca998912,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,,,,,0,agricultural
26,04-13-89-27,e18b581fb1024c61a1632c76aa0558e2,Flooding of agricultural land,1,Flooding of agricultural land,10.0,0.0,1.0,0.0,0.0,0,agricultural
27,75-29-32-65,d9aea3cacd7246bd878979a81132bc8b,Drought,1,ภัยแล้ง,11.0,,,,,0,agricultural
28,40-85-94-16,0981e400e856456fb0a2f274e82952a9,Pests and Livestock diseases,1,การระบาดของแมลงและโรคสัตว์,63.0,,,,,0,agricultural
29,88-18-68-16,00805a067da44a2f910cb5d1930bbc88,Flooding of agricultural land,1,น้ำท่วมที่ดินทางการเกษตร,10.0,,,,,0,agricultural
30,88-18-68-16,00805a067da44a2f910cb5d1930bbc88,Strong decrease of prices for Output,1,ราคาผลผลิตตกต่ำอย่างมาก,21.0,0.0,0.0,0.0,1.0,0,agricultural
