,interview__key,interview__id,shocks__id,shocks_detail__id,v31102d,v31102a__0,v31102a__1,v31102a__2,v31102a__3,v31102a__4,v31102a__5,v31102a__6,v31102a__7,v31102a__8,v31102a__9,v31102a__10,v31102a__11,v31102a__12,v31102a__13,v31102a__14,v31102a__15,v31102a__16,v31102a__17,v31102a__18,v31102a__19,rowcode_shock,v31103,v31103a,v31103c,v31104,v31105a,v31105b,v31106a,shockmoneyloss,v31107,v31108a__1,v31108a__2,v31108a__3,v31108a__4,v31108a__5,v31108a__6,v31108a__7,v31108__40,v31108__41,v31108__42,v31108__43,v31108__3,v31108__4,v31108__5,v31108__6,v31108__7,v31108__8,v31108__9,v31108__10,v31108__11,v31108__12,v31108__13,v31108__14,v31108__15,v31108__16,v31108__17,v31108__18,v31108__19,v31108__20,v31108__21,v31108__22,v31108__23,v31108__24,v31108__25,v31108__26,v31108__27,v31108__28,v31108__29,v31108__30,v31108__31,v31108__48,v31108__49,v31108__50,v31108__51,v31108__52,v31108__53,v31108__54,v31108__55,v31108__62,v31108__63,v31108__90,v31108__98,specify_v31108,v31111,v31112a,shockdate,corryear,v31127__0,v31127__1,v31127__2,v31127__3,v31127__4,v31127__5,v31127__98,specify_v31127
0,61-84-00-54,e4caefaf3c074773a6e478861d18f0a7,2,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2022,January,7,Medium,120000.0,none,none,120000.0,no other HH,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,10.0,2022-01-01T00:00:00,2022.0,0,0,0,0,1,0,0,
1,61-84-00-54,e4caefaf3c074773a6e478861d18f0a7,3,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2020,January,Still going on,No impact,,,,0.0,no other HH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-01T00:00:00,2020.0,1,0,0,0,0,0,0,
2,59-46-95-71,419de10d4606492390aaec2a7fb1e5b9,10,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2020,August,20,Medium,10000.0,none,none,10000.0,some other HH,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,45.0,2020-08-01T00:00:00,2020.0,0,0,0,1,1,0,0,
3,16-60-25-95,22b3b9365e3246b3821baad080732b6b,62,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2021,July,Still going on,High,180000.0,none,none,180000.0,most HH in country,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Yes,not yet recovered,2021-07-01T00:00:00,2021.0,1,0,0,0,0,0,0,
4,36-89-97-65,782b881d3751484d8cbdf49f3daae2ac,1,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2021,April,5,Medium,none,none,none,0.0,no other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,5.0,2021-04-01T00:00:00,2021.0,1,0,0,0,0,0,0,
5,36-89-97-65,782b881d3751484d8cbdf49f3daae2ac,11,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2020,June,60,Medium,none,1500.0,none,1500.0,some other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No answer,30.0,2020-06-01T00:00:00,2020.0,0,0,0,1,0,0,0,
6,36-89-97-65,782b881d3751484d8cbdf49f3daae2ac,24,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2022,February,2,Medium,none,none,none,0.0,no other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,not yet recovered,2022-02-01T00:00:00,2022.0,1,0,0,0,0,0,0,
7,36-89-97-65,782b881d3751484d8cbdf49f3daae2ac,55,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2019,October,2,Medium,none,none,500.0,500.0,some other HH,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No,3.0,2019-10-01T00:00:00,2019.0,0,0,0,0,1,0,0,
8,96-40-48-93,f61946a349b743e988b834efeeabfa60,10,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2020,June,10,Medium,none,none,3000.0,3000.0,most HH in village / commune,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,No,30.0,2020-06-01T00:00:00,2020.0,1,0,0,0,0,0,0,
9,96-40-48-93,f61946a349b743e988b834efeeabfa60,11,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2021,April,30,Medium,none,none,1800.0,1800.0,most HH in village / commune,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,30.0,2021-04-01T00:00:00,2021.0,1,0,0,0,0,0,0,
10,40-94-47-49,51dd8298866e47158e113ec3afe54586,11,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2019,May,20,Low,2000.0,none,1000.0,3000.0,most HH in village / commune,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,20.0,2019-05-01T00:00:00,2019.0,1,0,0,0,0,0,0,
11,52-42-75-93,0fb41bdf460b452ea36b10359820a8bb,6,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2019,Don't know,1,Low,none,none,none,0.0,no other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0,##N/A##,2019.0,0,0,0,0,1,0,0,
12,52-42-75-93,0fb41bdf460b452ea36b10359820a8bb,62,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2019,Don't know,30,Medium,4000.0,none,none,4000.0,some other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,0.0,##N/A##,2019.0,1,0,0,0,0,0,0,
13,04-16-71-25,06aa5a2fa1064967aac08ec195b63e9f,22,0,No,2.0,,,,,,,,,,,,,,,,,,,,0.0,2022,January,1,Medium,none,none,none,0.0,some other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,not yet recovered,2022-01-01T00:00:00,2022.0,1,0,0,0,0,0,0,
14,62-68-12-78,2782c0baaa0846dba9b4cedb408cf809,21,0,No,1.0,2.0,,,,,,,,,,,,,,,,,,,0.0,2019,Don't know,Still going on,High,5000.0,3000.0,none,8000.0,most HH in country,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No answer,not yet recovered,##N/A##,2019.0,1,0,0,0,0,0,0,
15,49-15-19-55,d33fbedfa3464c238fc42054e0c841a5,22,0,No,1.0,,,,,,,,,,,,,,,,,,,,0.0,2021,April,Still going on,Medium,3000.0,500.0,none,3500.0,most HH in country,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,No answer,not yet recovered,2021-04-01T00:00:00,2021.0,1,0,0,0,0,0,0,
16,51-39-40-08,aa210731c5ca46318ce0e477cdad93da,11,0,Yes,,,,,,,,,,,,,,,,,,,,,0.0,2020,April,30,Medium,none,200.0,600.0,800.0,some other HH,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,30.0,2020-04-01T00:00:00,2020.0,0,0,0,0,1,0,0,
